itemcode,division,revenue_type,status,jobcode,customer_segment,manufacturing_type,productID,typeOfSale,forecast_date,createDate,PODate,cost,qty
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT240136,Smart Shop,MTS,P3555,Sale,2024-10-18,2024-10-15,2024-10-15,16767.14,2.0
CT-F-99-020505,PEM102-OLD,Omni Channel,Actual,CT240223,Dealer,MTS,P1747,Sale,2024-10-31,2024-10-15,2024-10-15,20561.25,3.0
CT-F-99-020508,PEM102-OLD,Omni Channel,Actual,CT240159,Contractor,MTS,P1750,Sale,2024-10-31,2024-10-15,2024-10-15,25351.89,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240152,Contractor,MTS,P15311,Sale,2024-10-31,2024-10-16,2024-10-16,19003.97,1.0
CT-F-99-020505,PEM102-OLD,Omni Channel,Actual,CT240223,Contractor,MTS,P1747,Sale,2024-10-31,2024-10-16,2024-10-16,20561.25,3.0
CT-F-99-020527,PEM102-OLD,Omni Channel,Actual,CT240230,Contractor,MTS,P15384,Sale,2024-11-29,2024-10-16,2024-10-16,39421.95,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240152,Contractor,MTS,P15311,Sale,2024-10-22,2024-10-16,2024-10-16,19003.97,1.0
CT-F-99-020525,PEM102-OLD,Omni Channel,Actual,CT240222,Contractor,MTS,P15385,Sale,2024-10-22,2024-10-16,2024-10-16,38800.92,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240152,Contractor,MTS,P15311,Sale,2024-11-29,2024-10-16,2024-10-16,19003.97,1.0
CT-F-99-020524,PEM102-OLD,Omni Channel,Actual,CT240178,Contractor,MTS,P15310,Sale,2024-10-22,2024-10-16,2024-10-16,38443.08,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240152,Contractor,MTS,P15311,Sale,2024-10-22,2024-10-16,2024-10-16,19003.97,1.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240152,Contractor,MTS,P15311,Sale,2024-11-08,2024-10-16,2024-10-16,19003.97,1.0
CT-F-99-020506,PEM102-OLD,Omni Channel,Actual,CT240253,Contractor,MTS,P1748,Sale,2024-11-08,2024-10-16,2024-10-16,21559.77,3.0
CT-F-99-020528,PEM102-OLD,Omni Channel,Actual,CT240261,Contractor,MTS,P15568,Sale,2024-11-29,2024-10-16,2024-10-16,42939.54,3.0
CT-F-99-020704,PEM102-OLD,Omni Channel,Actual,CT240265,การไฟฟ้าส่วนภูมิภาค เขต 2 (ภาคใต้),MTO,P1769,Sale,2024-11-15,2024-10-16,2024-10-16,45630.48,6.0
CT-F-99-020706,PEM102-OLD,Omni Channel,Actual,"CT240266,CT180177",การไฟฟ้าส่วนภูมิภาค เขต 2 (ภาคใต้),MTO,P1771,Sale,2024-11-15,2024-10-16,2024-10-16,74726.64,9.0
CT-F-99-020509,PEM102-OLD,Omni Channel,Actual,CT240069,Contractor,MTS,P7170,Sale,2024-10-30,2024-10-17,2024-10-17,25882.59,3.0
VT-F-99-010715,PEM102-OLD,Omni Channel,Actual,VT240124,Factory,MTS,P15837,Sale,2024-10-18,2024-10-17,2024-10-17,18520.58,1.0
CT-F-99-020504,PEM102-OLD,Omni Channel,Actual,CT240213,Factory,MTS,P1746,Sale,2024-10-18,2024-10-17,2024-10-17,21419.31,3.0
CT-F-99-020528,PEM102-OLD,Omni Channel,Actual,CT240261,Contractor,MTS,P15568,Sale,2024-11-29,2024-09-17,2024-09-17,42939.54,3.0
CT-F-99-020702,PEM102-OLD,Omni Channel,Actual,CT240263,การไฟฟ้าส่วนภูมิภาค เขต 2 (ภาคใต้),MTO,P1767,Sale,2024-11-15,2024-10-17,2024-10-17,100055.28,13.0
CT-F-99-020705,PEM102-OLD,Omni Channel,Actual,"CT240264,CT240162",การไฟฟ้าส่วนภูมิภาค เขต 2 (ภาคใต้),MTO,P1770,Sale,2024-11-15,2024-10-17,2024-10-17,33211.84,4.0
